  TRIG, THRES, RESET,   OUT
  4.99,  0.00,  5.00,  0.00
  4.97,  0.00,  5.00,  0.00
  4.95,  0.00,  5.00,  0.00
  4.93,  0.00,  5.00,  0.00
  4.91,  0.00,  5.00,  0.00
  4.89,  0.00,  5.00,  0.00
  4.87,  0.00,  5.00,  0.00
  4.85,  0.00,  5.00,  0.00
  4.82,  0.00,  5.00,  0.00
  4.82,  0.00,  5.00,  0.00
  4.79,  0.00,  5.00,  0.00
  4.76,  0.00,  4.99,  0.00
  4.75,  0.00,  5.00,  0.00
  4.73,  0.00,  5.00,  0.00
  4.72,  0.00,  5.00,  0.00
  4.70,  0.00,  5.00,  0.00
  4.67,  0.00,  5.00,  0.00
  4.66,  0.00,  5.00,  0.00
  4.64,  0.00,  5.00,  0.00
  4.62,  0.00,  5.00,  0.00
  4.60,  0.00,  4.99,  0.00
  4.58,  0.00,  5.00,  0.00
  4.56,  0.00,  5.00,  0.00
  4.54,  0.00,  5.00,  0.00
  4.52,  0.00,  5.00,  0.00
  4.50,  0.00,  5.00,  0.00
  4.48,  0.00,  5.00,  0.00
  4.46,  0.00,  5.00,  0.00
  4.44,  0.00,  5.00,  0.00
  4.42,  0.00,  5.00,  0.00
  4.40,  0.00,  5.00,  0.00
  4.39,  0.00,  5.00,  0.00
  4.36,  0.00,  4.99,  0.00
  4.34,  0.00,  5.00,  0.00
  4.33,  0.00,  5.00,  0.00
  4.30,  0.00,  5.00,  0.00
  4.28,  0.00,  5.00,  0.00
  4.27,  0.00,  5.00,  0.00
  4.25,  0.00,  5.00,  0.00
  4.22,  0.00,  5.00,  0.00
  4.21,  0.00,  5.00,  0.00
  4.19,  0.00,  5.00,  0.00
  4.16,  0.00,  5.00,  0.00
  4.15,  0.00,  5.00,  0.00
  4.13,  0.00,  4.99,  0.00
  4.11,  0.00,  5.00,  0.00
  4.09,  0.00,  5.00,  0.00
  4.07,  0.00,  5.00,  0.00
  4.05,  0.00,  5.00,  0.00
  4.03,  0.00,  5.00,  0.00
  4.01,  0.00,  5.00,  0.00
  3.99,  0.00,  5.00,  0.00
  3.97,  0.00,  5.00,  0.00
  3.95,  0.00,  5.00,  0.00
  3.93,  0.00,  5.00,  0.00
  3.91,  0.00,  5.00,  0.00
  3.90,  0.00,  5.00,  0.00
  3.87,  0.00,  5.00,  0.00
  3.86,  0.00,  5.00,  0.00
  3.84,  0.00,  5.00,  0.00
  3.83,  0.00,  5.00,  0.00
  3.80,  0.00,  5.00,  0.00
  3.78,  0.00,  5.00,  0.00
  3.76,  0.00,  5.00,  0.00
  3.73,  0.00,  5.00,  0.00
  3.71,  0.00,  5.00,  0.00
  3.70,  0.00,  5.00,  0.00
  3.69,  0.00,  5.00,  0.00
  3.66,  0.00,  5.00,  0.00
  3.65,  0.00,  5.00,  0.00
  3.63,  0.00,  5.00,  0.00
  3.60,  0.00,  5.00,  0.00
  3.58,  0.00,  5.00,  0.00
  3.56,  0.00,  5.00,  0.00
  3.55,  0.00,  4.99,  0.00
  3.52,  0.00,  5.00,  0.00
  3.50,  0.00,  5.00,  0.00
  3.48,  0.00,  5.00,  0.00
  3.47,  0.00,  5.00,  0.00
  3.44,  0.00,  5.00,  0.00
  3.43,  0.00,  5.00,  0.00
  3.41,  0.00,  5.00,  0.00
  3.39,  0.00,  5.00,  0.00
  3.37,  0.00,  5.00,  0.00
  3.35,  0.00,  5.00,  0.00
  3.34,  0.00,  5.00,  0.00
  3.31,  0.00,  5.00,  0.00
  3.29,  0.00,  5.00,  0.00
  3.27,  0.00,  5.00,  0.00
  3.26,  0.00,  5.00,  0.00
  3.24,  0.00,  5.00,  0.00
  3.21,  0.00,  5.00,  0.00
  3.20,  0.00,  5.00,  0.00
  3.18,  0.00,  5.00,  0.00
  3.16,  0.00,  5.00,  0.00
  3.14,  0.00,  5.00,  0.00
  3.12,  0.00,  4.99,  0.00
  3.10,  0.00,  5.00,  0.00
  3.08,  0.00,  5.00,  0.00
  3.06,  0.00,  5.00,  0.00
  3.04,  0.00,  5.00,  0.00
  3.02,  0.00,  5.00,  0.00
  3.00,  0.00,  4.99,  0.00
  2.99,  0.00,  5.00,  0.00
  2.96,  0.00,  5.00,  0.00
  2.95,  0.00,  5.00,  0.00
  2.93,  0.00,  4.99,  0.00
  2.90,  0.00,  5.00,  0.00
  2.89,  0.00,  5.00,  0.00
  2.86,  0.00,  5.00,  0.00
  2.85,  0.00,  5.00,  0.00
  2.83,  0.00,  5.00,  0.00
  2.80,  0.00,  5.00,  0.00
  2.79,  0.00,  5.00,  0.00
  2.77,  0.00,  5.00,  0.00
  2.75,  0.00,  5.00,  0.00
  2.73,  0.00,  5.00,  0.00
  2.71,  0.00,  5.00,  0.00
  2.69,  0.00,  5.00,  0.00
  2.68,  0.00,  5.00,  0.00
  2.65,  0.00,  5.00,  0.00
  2.63,  0.00,  5.00,  0.00
  2.62,  0.00,  5.00,  0.00
  2.59,  0.00,  5.00,  0.00
  2.58,  0.00,  5.00,  0.00
  2.55,  0.00,  5.00,  0.00
  2.54,  0.00,  5.00,  0.00
  2.52,  0.00,  5.00,  0.00
  2.50,  0.00,  5.00,  0.00
  2.48,  0.00,  5.00,  0.00
  2.46,  0.00,  5.00,  0.00
  2.44,  0.00,  5.00,  0.00
  2.42,  0.00,  5.00,  0.00
  2.40,  0.00,  5.00,  0.00
  2.38,  0.00,  5.00,  0.00
  2.36,  0.00,  5.00,  0.00
  2.34,  0.00,  5.00,  0.00
  2.33,  0.00,  5.00,  0.00
  2.31,  0.00,  5.00,  0.00
  2.29,  0.00,  5.00,  0.00
  2.27,  0.00,  5.00,  0.00
  2.24,  0.00,  5.00,  0.00
  2.23,  0.00,  5.00,  0.00
  2.21,  0.00,  5.00,  0.00
  2.19,  0.00,  5.00,  0.00
  2.17,  0.00,  5.00,  0.00
  2.15,  0.00,  5.00,  0.00
  2.13,  0.00,  5.00,  0.00
  2.11,  0.00,  4.98,  0.00
  2.10,  0.00,  4.99,  0.00
  2.07,  0.00,  5.00,  0.00
  2.05,  0.00,  5.00,  0.00
  2.03,  0.00,  5.00,  0.00
  2.01,  0.00,  5.00,  0.00
  1.99,  0.00,  5.00,  0.00
  1.97,  0.00,  5.00,  0.00
  1.95,  0.00,  5.00,  0.00
  1.94,  0.00,  5.00,  0.00
  1.91,  0.00,  5.00,  0.00
  1.90,  0.00,  5.00,  0.00
  1.88,  0.00,  5.00,  0.00
  1.86,  0.00,  5.00,  0.00
  1.84,  0.00,  5.00,  0.00
  1.82,  0.00,  5.00,  5.00
  1.80,  0.00,  5.00,  5.00
  1.78,  0.00,  5.00,  5.00
  1.76,  0.00,  5.00,  5.00
  1.74,  0.00,  5.00,  5.00
  1.73,  0.00,  5.00,  4.99
  1.71,  0.00,  5.00,  5.00
  1.68,  0.00,  5.00,  5.00
  1.67,  0.00,  5.00,  5.00
  1.64,  0.00,  5.00,  5.00
  1.62,  0.00,  5.00,  5.00
  1.60,  0.00,  5.00,  5.00
  1.58,  0.00,  5.00,  5.00
  1.57,  0.00,  5.00,  5.00
  1.55,  0.00,  5.00,  5.00
  1.53,  0.00,  5.00,  5.00
  1.51,  0.00,  5.00,  5.00
  1.49,  0.00,  5.00,  5.00
  1.47,  0.00,  5.00,  5.00
  1.45,  0.00,  5.00,  5.00
  1.43,  0.00,  5.00,  5.00
  1.41,  0.00,  5.00,  5.00
  1.39,  0.00,  5.00,  5.00
  1.37,  0.00,  5.00,  5.00
  1.35,  0.00,  5.00,  5.00
  1.33,  0.00,  5.00,  5.00
  1.31,  0.00,  5.00,  5.00
  1.30,  0.00,  5.00,  5.00
