  TRIG, THRES, RESET,   OUT
  0.05,  0.01,  0.05,  5.00
  0.07,  0.01,  0.07,  4.99
  0.09,  0.01,  0.09,  4.99
  0.11,  0.01,  0.11,  5.00
  0.13,  0.01,  0.13,  4.99
  0.15,  0.01,  0.15,  4.99
  0.17,  0.01,  0.17,  4.99
  0.19,  0.01,  0.19,  5.00
  0.21,  0.01,  0.21,  5.00
  0.22,  0.01,  0.22,  4.99
  0.24,  0.01,  0.24,  4.99
  0.26,  0.01,  0.26,  4.99
  0.28,  0.01,  0.28,  4.99
  0.30,  0.01,  0.30,  5.00
  0.32,  0.01,  0.32,  5.00
  0.34,  0.01,  0.34,  4.99
  0.36,  0.01,  0.36,  5.00
  0.38,  0.01,  0.38,  5.00
  0.40,  0.01,  0.40,  4.99
  0.42,  0.01,  0.42,  5.00
  0.43,  0.01,  0.43,  4.99
  0.45,  0.01,  0.45,  5.00
  0.47,  0.01,  0.47,  4.99
  0.49,  0.01,  0.49,  4.99
  0.51,  0.01,  0.51,  4.99
  0.53,  0.01,  0.53,  4.99
  0.55,  0.01,  0.55,  4.99
  0.57,  0.01,  0.57,  4.99
  0.59,  0.01,  0.59,  4.99
  0.61,  0.01,  0.61,  5.00
  0.63,  0.01,  0.63,  5.00
  0.65,  0.01,  0.65,  5.00
  0.66,  0.01,  0.66,  4.99
  0.68,  0.01,  0.69,  4.99
  0.70,  0.01,  0.70,  4.99
  0.72,  0.01,  0.72,  5.00
  0.74,  0.01,  0.74,  4.99
  0.76,  0.01,  0.76,  4.99
  0.78,  0.01,  0.78,  4.99
  0.80,  0.01,  0.80,  5.00
  0.82,  0.01,  0.82,  5.00
  0.84,  0.01,  0.84,  5.00
  0.86,  0.01,  0.86,  5.00
  0.88,  0.01,  0.88,  4.99
  0.90,  0.01,  0.90,  4.99
  0.92,  0.01,  0.92,  4.99
  0.94,  0.01,  0.94,  5.00
  0.96,  0.01,  0.96,  4.99
  0.97,  0.01,  0.97,  5.00
  0.99,  0.01,  0.99,  4.99
  1.01,  0.01,  1.02,  4.99
  1.04,  0.01,  1.03,  5.00
  1.05,  0.01,  1.05,  4.99
  1.07,  0.01,  1.07,  4.99
  1.09,  0.01,  1.09,  4.99
  1.11,  0.01,  1.11,  4.99
  1.13,  0.01,  1.13,  4.99
  1.15,  0.01,  1.15,  5.00
  1.17,  0.01,  1.17,  4.99
  1.19,  0.01,  1.19,  5.00
  1.21,  0.01,  1.21,  4.99
  1.23,  0.01,  1.23,  4.99
  1.25,  0.01,  1.25,  4.99
  1.27,  0.01,  1.27,  5.00
  1.29,  0.01,  1.29,  5.00
  1.30,  0.01,  1.30,  5.00
  1.32,  0.01,  1.32,  4.99
  1.34,  0.01,  1.34,  4.99
  1.36,  0.01,  1.36,  4.99
  1.38,  0.01,  1.38,  5.00
  1.40,  0.01,  1.40,  5.00
  1.42,  0.01,  1.42,  5.00
  1.44,  0.01,  1.44,  5.00
  1.46,  0.01,  1.46,  4.99
  1.48,  0.01,  1.48,  4.99
  1.50,  0.01,  1.50,  4.99
  1.52,  0.01,  1.52,  4.99
  1.53,  0.01,  1.53,  5.00
  1.55,  0.01,  1.55,  4.99
  1.57,  0.01,  1.58,  4.99
  1.59,  0.01,  1.59,  4.99
  1.61,  0.01,  1.61,  5.00
  1.63,  0.01,  1.63,  5.00
  1.65,  0.01,  1.65,  4.99
  1.67,  0.01,  1.67,  4.99
  1.69,  0.01,  1.69,  5.00
  1.71,  0.01,  1.71,  5.00
  1.73,  0.01,  1.73,  5.00
  1.75,  0.01,  1.75,  5.00
  1.76,  0.01,  1.76,  5.00
  1.78,  0.01,  1.79,  5.00
  1.81,  0.01,  1.81,  5.00
  1.83,  0.01,  1.82,  4.99
  1.84,  0.01,  1.85,  4.99
  1.86,  0.01,  1.86,  4.99
  1.88,  0.01,  1.89,  4.99
  1.90,  0.01,  1.90,  5.00
  1.92,  0.01,  1.92,  5.00
  1.94,  0.01,  1.94,  5.00
  1.96,  0.01,  1.96,  4.99
  1.98,  0.01,  1.98,  4.99
  2.00,  0.01,  2.00,  4.99
  2.02,  0.01,  2.02,  4.99
  2.03,  0.01,  2.04,  4.99
  2.06,  0.01,  2.05,  5.00
  2.07,  0.01,  2.08,  5.00
  2.10,  0.01,  2.10,  4.99
  2.12,  0.01,  2.12,  4.99
  2.14,  0.01,  2.13,  4.99
  2.16,  0.01,  2.15,  4.99
  2.17,  0.01,  2.17,  5.00
  2.19,  0.01,  2.19,  4.99
  2.21,  0.01,  2.21,  5.00
  2.23,  0.01,  2.23,  5.00
  2.25,  0.01,  2.25,  4.99
  2.27,  0.01,  2.27,  5.00
  2.29,  0.01,  2.29,  5.00
  2.31,  0.01,  2.31,  5.00
  2.33,  0.01,  2.33,  5.00
  2.35,  0.01,  2.35,  4.99
  2.36,  0.01,  2.37,  5.00
  2.39,  0.01,  2.39,  5.00
  2.40,  0.01,  2.40,  5.00
  2.43,  0.01,  2.42,  5.00
  2.44,  0.01,  2.44,  4.99
  2.46,  0.01,  2.47,  5.00
  2.48,  0.01,  2.48,  5.00
  2.50,  0.01,  2.50,  4.99
  2.52,  0.01,  2.52,  4.99
  2.54,  0.01,  2.54,  4.99
  2.56,  0.01,  2.56,  5.00
  2.58,  0.01,  2.58,  5.00
  2.60,  0.01,  2.60,  5.00
  2.61,  0.01,  2.61,  5.00
  2.63,  0.01,  2.64,  5.00
  2.65,  0.01,  2.65,  5.00
  2.68,  0.01,  2.67,  4.99
  2.69,  0.01,  2.69,  5.00
  2.71,  0.01,  2.72,  5.00
  2.73,  0.01,  2.73,  5.00
  2.76,  0.01,  2.75,  5.00
  2.78,  0.01,  2.78,  5.00
  2.79,  0.01,  2.80,  4.99
  2.82,  0.01,  2.81,  5.00
  2.83,  0.01,  2.83,  4.99
  2.85,  0.01,  2.84,  5.00
  2.87,  0.01,  2.86,  4.99
  2.89,  0.01,  2.88,  5.00
  2.91,  0.01,  2.91,  5.00
  2.93,  0.01,  2.92,  5.00
  2.95,  0.01,  2.94,  5.00
  2.96,  0.01,  2.96,  5.00
  2.99,  0.01,  2.99,  5.00
  3.00,  0.01,  3.01,  5.00
  3.02,  0.01,  3.02,  4.99
  3.04,  0.01,  3.04,  5.00
  3.05,  0.01,  3.06,  5.00
  3.08,  0.01,  3.08,  4.99
  3.10,  0.01,  3.10,  4.99
  3.12,  0.01,  3.12,  5.00
  3.14,  0.01,  3.14,  4.99
  3.16,  0.01,  3.16,  5.00
  3.18,  0.01,  3.18,  4.99
  3.20,  0.01,  3.20,  5.00
  3.22,  0.01,  3.22,  4.99
  3.24,  0.01,  3.25,  5.00
  3.26,  0.01,  3.25,  5.00
  3.27,  0.01,  3.27,  4.99
  3.29,  0.01,  3.30,  5.00
  3.31,  0.01,  3.32,  4.99
  3.33,  0.01,  3.33,  4.99
  3.35,  0.01,  3.35,  4.99
  3.36,  0.01,  3.37,  5.00
  3.39,  0.01,  3.39,  4.99
  3.41,  0.01,  3.41,  5.00
